FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Cocaine,5,0.2920999999999999
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Ecstasy,1,0.0025
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Fentanyl,1,0.0441
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Marijuana,17,255.4897
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Cocaine,8,82.78930000000001
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Marijuana,28,1560.6835
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other Drugs**,2,0.4012
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Cocaine,4,211.4595
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Fentanyl,2,23.5936
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Heroin,1,5.291
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Methamphetamine,1,0.0145
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other Drugs**,1,16.314
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Cocaine,5,30.5411
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Fentanyl,3,0.0544
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Marijuana,18,117.4341
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Methamphetamine,6,0.2915
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other Drugs**,4,0.2227
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Fentanyl,2,4.9524
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Marijuana,11,0.4121
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Methamphetamine,2,84.45259999999999
2023,SEP,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Other Drugs**,2,1.7483
2024,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Cocaine,1,19.2243092464
2024,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Khat (Catha Edulis),2,4.416740956908
2024,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Marijuana,12,161.35963649173
2024,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Other Drugs**,4,6.020383450696
2024,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Cocaine,2,9.2373687778
2024,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Ecstasy,3,0.121695168624
