"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"North Dakota","38","2019","2019",43,762062,5.6,4.1,7.6
,"North Dakota","38","2020","2020",72,765309,9.4,7.4,11.8
,"North Dakota","38","2021","2021",75,774948,9.7,7.6,12.1
,"North Dakota","38","2022","2022",99,779261,12.7,10.3,15.5
,"North Dakota","38","2023","2023",90,783926,11.5,9.2,14.1
,"North Dakota","38","2024 ","2024",69,796568,8.7,6.7,11.0
"Total","North Dakota","38",,,486,5422151,9.0,8.2,9.8
,"Ohio","39","2018","2018",3319,11689442,28.4,27.4,29.4
,"Ohio","39","2019","2019",3553,11689100,30.4,29.4,31.4
,"Ohio","39","2020","2020",4494,11693217,38.4,37.3,39.6
,"Ohio","39","2021","2021",4574,11780017,38.8,37.7,40.0
,"Ohio","39","2022","2022",4308,11756058,36.6,35.6,37.7
,"Ohio","39","2023","2023",3864,11785935,32.8,31.8,33.8
,"Ohio","39","2024 ","2024",2351,11883304,19.8,19.0,20.6
"Total","Ohio","39",,,26463,82277073,32.2,31.8,32.6
,"Oklahoma","40","2018","2018",318,3943079,8.1,7.2,9.0
,"Oklahoma","40","2019","2019",274,3956971,6.9,6.1,7.7
,"Oklahoma","40","2020","2020",326,3980783,8.2,7.3,9.1
,"Oklahoma","40","2021","2021",479,3986639,12.0,10.9,13.1
,"Oklahoma","40","2022","2022",770,4019800,19.2,17.8,20.5
,"Oklahoma","40","2023","2023",842,4053824,20.8,19.4,22.2
,"Oklahoma","40","2024 ","2024",611,4095393,14.9,13.7,16.1
"Total","Oklahoma","40",,,3620,28036489,12.9,12.5,13.3
,"Oregon","41","2018","2018",351,4190713,8.4,7.5,9.3
,"Oregon","41","2019","2019",338,4217737,8.0,7.2,8.9
,"Oregon","41","2020","2020",511,4241507,12.0,11.0,13.1
,"Oregon","41","2021","2021",785,4246155,18.5,17.2,19.8
,"Oregon","41","2022","2022",983,4240137,23.2,21.7,24.6
,"Oregon","41","2023","2023",1406,4233358,33.2,31.5,34.9
,"Oregon","41","2024 ","2024",1110,4272371,26.0,24.5,27.5
"Total","Oregon","41",,,5484,29641978,18.5,18.0,19.0
,"Pennsylvania","42","2018","2018",2891,12807060,22.6,21.8,23.4
,"Pennsylvania","42","2019","2019",3073,12801989,24.0,23.2,24.9
,"Pennsylvania","42","2020","2020",3950,12783254,30.9,29.9,31.9
,"Pennsylvania","42","2021","2021",4138,12964056,31.9,30.9,32.9
,"Pennsylvania","42","2022","2022",4010,12972008,30.9,30.0,31.9
,"Pennsylvania","42","2023","2023",3633,12961683,28.0,27.1,28.9
,"Pennsylvania","42","2024 ","2024",2325,13078751,17.8,17.1,18.5
"Total","Pennsylvania","42",,,24020,90368801,26.6,26.2,26.9
,"Rhode Island","44","2018","2018",268,1057315,25.3,22.3,28.4
,"Rhode Island","44","2019","2019",243,1059361,22.9,20.1,25.8
,"Rhode Island","44","2020","2020",333,1057125,31.5,28.1,34.9
,"Rhode Island","44","2021","2021",392,1095610,35.8,32.2,39.3
,"Rhode Island","44","2022","2022",346,1093734,31.6,28.3,35.0
,"Rhode Island","44","2023","2023",353,1095962,32.2,28.8,35.6
,"Rhode Island","44","2024 ","2024",228,1112308,20.5,17.8,23.2
"Total","Rhode Island","44",,,2163,7571415,28.6,27.4,29.8
,"South Carolina","45","2018","2018",858,5084127,16.9,15.7,18.0
,"South Carolina","45","2019","2019",883,5148714,17.1,16.0,18.3
,"South Carolina","45","2020","2020",1431,5218040,27.4,26.0,28.8
,"South Carolina","45","2021","2021",1752,5190705,33.8,32.2,35.3
,"South Carolina","45","2022","2022",1861,5282634,35.2,33.6,36.8
,"South Carolina","45","2023","2023",1761,5373555,32.8,31.2,34.3
,"South Carolina","45","2024 ","2024",1078,5478831,19.7,18.5,20.9
"Total","South Carolina","45",,,9624,36776606,26.2,25.6,26.7
,"South Dakota","46","2018","2018",29,882235,3.3,2.2,4.7
,"South Dakota","46","2019","2019",39,884659,4.4,3.1,6.0
,"South Dakota","46","2020","2020",48,892717,5.4,4.0,7.1
,"South Dakota","46","2021","2021",47,895376,5.2,3.9,7.0
,"South Dakota","46","2022","2022",48,909824,5.3,3.9,7.0
,"South Dakota","46","2023","2023",48,919318,5.2,3.8,6.9
,"South Dakota","46","2024 ","2024",44,924669,4.8,3.5,6.4
"Total","South Dakota","46",,,303,6308798,4.8,4.3,5.3
